"codmun_resid","cod7","UF","Regiao","mun","Ano","obito_SRAG","obitos_COVID","Interna_COVID","Pop","FPM","RM","PIBpc","ICMSpc","Saudepc","FPMpc","Regra 1_e_2","Regra 2_e_3","Regra_3_e_4","Regra_4_e_5","Regra_5_e_6","Regra_6_e_7"
130010,1300102,"AM","Norte","Anori",2020,27,25,10,21010,12229151.99,0,9553.02,457.561748215136,990.085564017135,582.063397905759,0,0,1,1,0,0
130014,1300144,"AM","Norte","Apuí",2020,6,6,34,21973,12229151.99,0,11499.41,513.88709916716,761.389390615756,556.553588039867,0,0,1,1,0,0
130020,1300201,"AM","Norte","Atalaia do Norte",2020,5,5,3,19921,12229151.99,0,7564.28,557.053330154109,1545.32847296822,613.882435118719,0,0,1,1,0,0
130030,1300300,"AM","Norte","Autazes",2020,46,40,56,39565,18343727.88,1,9828.08,353.905600657146,1143.29724301782,463.635230127638,0,0,0,0,0,1
130040,1300409,"AM","Norte","Barcelos",2020,30,30,84,27502,14267343.9,0,6908.46,603.159996000291,801.734807286743,518.7747763799,0,0,0,1,1,0
130050,1300508,"AM","Norte","Barreirinha",2020,29,27,87,32041,16305535.93,0,8944.16,320.913710246247,872.426044755157,508.89597484473,0,0,0,0,1,1
130060,1300607,"AM","Norte","Benjamin Constant",2020,52,50,94,42984,18343727.88,0,8075.44,332.597335752838,739.070303368695,426.757116136237,0,0,0,0,0,1
130063,1300631,"AM","Norte","Beruri",2020,14,13,37,19679,12229151.99,0,8633.14,498.808976065857,665.122286193404,621.431576299609,0,0,1,1,0,0
130068,1300680,"AM","Norte","Boa Vista do Ramos",2020,11,9,30,19207,12229151.99,0,7612.61,457.880297287447,793.431156349248,636.702868225126,0,0,1,1,0,0
130070,1300706,"AM","Norte","Boca do Acre",2020,22,21,65,34308,16305535.93,0,12949.84,463.812365629008,686.899261396759,475.269206307567,0,0,0,0,1,1
130080,1300805,"AM","Norte","Borba",2020,38,33,118,41161,18343727.88,0,8026.54,334.996123272029,750.385810840359,445.657974296057,0,0,0,0,0,1
130083,1300839,"AM","Norte","Caapiranga",2020,8,8,28,13081,9710632.3,0,12902.15,679.749091812552,1280.61912621359,742.34632673343,1,1,0,0,0,0
130090,1300904,"AM","Norte","Canutama",2020,9,8,42,15629,10190960.02,0,7802.65,738.734315055346,1069.71569390236,652.054515324077,0,1,1,0,0,0
130100,1301001,"AM","Norte","Carauari",2020,25,23,55,28294,14267343.9,0,11894.71,505.087965646427,817.543794797484,504.253336396409,0,0,0,1,1,0
130110,1301100,"AM","Norte","Careiro",2020,28,26,28,37869,18343727.88,1,8996.08,374.394340225514,1146.03574005123,484.399584884734,0,0,0,0,0,1
130115,1301159,"AM","Norte","Careiro da Várzea",2020,11,6,0,30225,14267344.36,1,10543.87,343.900824483044,804.926947890819,472.037861373036,0,0,0,1,1,0
130130,1301308,"AM","Norte","Codajás",2020,16,14,37,28637,14267343.9,0,17665.56,455.155365436324,643.075111568949,498.21363620491,0,0,0,1,1,0
130140,1301407,"AM","Norte","Eirunepé",2020,14,14,89,35273,16305535.93,0,13574.52,539.310018994699,873.55178663567,462.266774303291,0,0,0,0,1,1
130150,1301506,"AM","Norte","Envira",2020,3,2,17,20033,12229151.99,0,8606.48,536.131677731743,802.956334048819,610.45035641192,0,0,1,1,0,0
130160,1301605,"AM","Norte","Fonte Boa",2020,24,22,107,17609,12229151.99,0,10317.44,627.122992787779,1539.39939292407,694.483047873247,0,0,1,1,0,0
130165,1301654,"AM","Norte","Guajará",2020,17,17,10,16678,10190960.02,0,7801.51,569.11852020626,884.911827557261,611.042092577048,0,1,1,0,0,0
130180,1301803,"AM","Norte","Ipixuna",2020,12,12,79,29689,14267343.9,0,5966.54,333.633509380579,607.705015325541,480.559934655933,0,0,0,1,1,0
130195,1301951,"AM","Norte","Itamarati",2020,4,4,5,7851,6114576.12,0,12712.42,1313.63774296268,1226.63013756209,778.827680550248,1,0,0,0,0,0
130200,1302009,"AM","Norte","Itapiranga",2020,23,21,53,9148,6114576.12,1,14156.01,963.130968517709,1286.43819523393,668.40578487101,1,0,0,0,0,0
130210,1302108,"AM","Norte","Japurá",2020,4,4,17,2755,6114576.12,0,23904.48,4169.05137568058,2672.98772050817,2219.44686751361,1,0,0,0,0,0
130220,1302207,"AM","Norte","Juruá",2020,10,10,19,14712,10190960.02,0,7858.95,526.864767536705,1138.3929336596,692.697119358347,0,1,1,0,0,0
130230,1302306,"AM","Norte","Jutaí",2020,17,17,14,14317,11498533.53,0,16110.49,985.945461339666,1402.87528113432,803.138473842285,0,1,1,0,0,0
130255,1302553,"AM","Norte","Manaquiri",2020,24,19,42,32105,16305535.93,1,8091.34,293.711279239994,599.942888023672,507.881511602554,0,0,0,0,1,1
130280,1302801,"AM","Norte","Maraã",2020,9,9,8,18224,12229151.99,0,7700.96,576.152383669886,1111.33968009219,671.046531496927,0,0,1,1,0,0
130300,1303007,"AM","Norte","Nhamundá",2020,18,18,54,21173,12229151.99,0,7941.09,523.603133708024,973.82184810844,577.58239219761,0,0,1,1,0,0
130310,1303106,"AM","Norte","Nova Olinda do Norte",2020,32,31,138,37378,18343727.88,0,7445.06,306.359095992295,688.662109262133,490.762691422762,0,0,0,0,0,1
130320,1303205,"AM","Norte","Novo Airão",2020,17,14,21,19454,12229151.99,1,8867.12,605.988787395908,777.763169528118,628.61889534286,0,0,1,1,0,0
130330,1303304,"AM","Norte","Novo Aripuanã",2020,15,14,9,25644,14267343.9,0,8289.46,438.636750896896,663.305290126345,556.361874122602,0,0,0,1,1,0
130350,1303502,"AM","Norte","Pauini",2020,11,10,21,19426,12229151.99,0,8435.74,629.399529496551,1005.74593380006,629.524966024915,0,0,1,1,0,0
130353,1303536,"AM","Norte","Presidente Figueiredo",2020,47,46,114,36279,16305535.93,1,26364.12,3173.56990490366,1248.53344221175,449.448329060889,0,0,0,0,1,1
130356,1303569,"AM","Norte","Rio Preto da Eva",2020,29,26,61,33347,16305535.93,1,13176.59,308.786745434372,902.160417728731,488.965602003179,0,0,0,0,1,1
130360,1303601,"AM","Norte","Santa Isabel do Rio Negro",2020,21,21,25,25156,14267343.9,0,5963.28,514.378111782477,670.824210923835,567.15471060582,0,0,0,1,1,0
130370,1303700,"AM","Norte","Santo Antônio do Içá",2020,37,36,229,21602,14267343.9,0,8883.85,513.7051842422,1425.0758499213,660.46402647903,0,0,1,1,0,0
130390,1303908,"AM","Norte","São Paulo de Olivença",2020,33,33,58,39299,18343727.88,0,7149.7,273.503990177867,686.733986869895,466.773400849894,0,0,0,0,0,1
130395,1303957,"AM","Norte","São Sebastião do Uatumã",2020,9,9,36,14020,10190960.02,0,8685.52,629.788860912981,1105.88116476462,726.887305278174,0,1,1,0,0,0
130400,1304005,"AM","Norte","Silves",2020,8,6,74,9171,6114576.12,1,12442.09,912.682418493076,966.538622832843,666.729486424599,1,0,0,0,0,0
130410,1304104,"AM","Norte","Tapauá",2020,7,6,3,17156,12229151.99,0,11204.07,1059.20881848916,1252.78003555607,712.82070354395,0,0,1,1,0,0
130423,1304237,"AM","Norte","Tonantins",2020,20,19,200,18755,12229151.99,0,8075.97,490.962052785924,1059.21051559584,652.047560117302,0,0,1,1,0,0
130426,1304260,"AM","Norte","Uarini",2020,16,16,11,13540,10190960.02,0,14500.57,649.919654357459,1138.56527031019,752.655836041359,1,1,0,0,0,0
130430,1304302,"AM","Norte","Urucará",2020,19,18,101,16256,12229151.99,0,18630.84,847.199434670276,1327.92527866634,752.285432455709,0,1,1,0,0,0
130440,1304401,"AM","Norte","Urucurituba",2020,17,15,153,23065,12229151.99,0,7775.24,425.000778668979,996.231057446347,530.203858226751,0,0,1,1,0,0
140002,1400027,"RR","Norte","Amajari",2020,13,11,0,12796,3920883.49,0,13828.85,544.724020006252,518.626924820256,306.414777274148,1,1,0,0,0,0
140005,1400050,"RR","Norte","Alto Alegre",2020,18,15,0,15510,4901104.25,1,19816.97,570.201203094778,1061.32791553836,315.99640554481,0,1,1,0,0,0
140015,1400159,"RR","Norte","Bonfim",2020,14,13,0,12409,3920883.49,1,25402.83,698.135596744298,1235.57908856475,315.970947699251,1,1,0,0,0,0
140017,1400175,"RR","Norte","Cantá",2020,13,11,0,18335,5881325.01,1,15001.16,396.621625852195,648.650713935097,320.770385055904,0,0,1,1,0,0
140020,1400209,"RR","Norte","Caracaraí",2020,22,14,0,21926,5881325.01,1,16870.94,504.199013043875,586.272170026453,268.235200674998,0,0,1,1,0,0
140023,1400233,"RR","Norte","Caroebe",2020,9,7,0,10169,2940662.6,1,19653,695.615219785623,840.994376044842,289.179132658078,1,0,0,0,0,0
140028,1400282,"RR","Norte","Iracema",2020,7,7,0,11950,3920883.49,1,13296.56,579.894079497908,1296.52254393305,328.107405020921,1,1,0,0,0,0
140030,1400308,"RR","Norte","Mucajaí",2020,23,19,0,17853,5881325.01,1,17455.09,448.215367725312,705.820684478799,329.430628465804,0,0,1,1,0,0
140040,1400407,"RR","Norte","Normandia",2020,15,12,0,11290,3920883.49,0,15354.75,602.833314437555,612.84475996457,347.2881744907,1,1,0,0,0,0
